source,type,prix,surface,prix_m2,nb_pieces,localisation
century21,Appartement,480000.0,46.0,10434.78,2,75012
century21,Appartement,255000.0,28.0,9107.14,2,75020
century21,Appartement,479500.0,20.0,23975.0,2,75013
century21,Appartement,700000.0,73.0,9589.04,3,75014
century21,Appartement,945000.0,76.0,12434.21,5,75016
century21,Appartement,1090000.0,92.0,11847.83,4,75014
century21,Appartement,293000.0,24.0,12208.33,1,75018
century21,Appartement,447000.0,46.0,9717.39,3,75020
century21,Appartement,2890000.0,181.0,15966.85,5,75008
century21,Appartement,1799000.0,140.0,12850.0,5,75016
century21,Appartement,1195000.0,123.0,9715.45,5,75014
century21,Appartement,1650000.0,55.0,30000.0,5,75016
century21,Appartement,429000.0,78.0,5500.0,2,75014
century21,Appartement,1210000.0,80.0,15125.0,4,75012
century21,Appartement,330000.0,55.0,6000.0,2,75002
century21,Appartement,426000.0,36.0,11833.33,2,75017
century21,Appartement,540000.0,24.0,22500.0,3,75010
century21,Appartement,899000.0,49.0,18346.94,5,75019
century21,Appartement,399000.0,30.0,13300.0,2,75018
laforet,Appartement,190000.0,16.0,11875.0,1,75011
laforet,Appartement,160000.0,14.0,11428.57,1,75011
laforet,Appartement,220000.0,22.0,10000.0,1,75010
laforet,Appartement,460000.0,56.0,8214.29,2,75011
laforet,Appartement,900000.0,74.0,12162.16,3,75001
laforet,Appartement,345000.0,36.0,9583.33,2,75014
laforet,Appartement,190000.0,18.0,10555.56,1,75010
laforet,Appartement,460000.0,37.0,12432.43,2,75007
laforet,Appartement,199000.0,18.0,11055.56,1,75017
laforet,Appartement,215000.0,21.0,10238.1,1,75019
laforet,Appartement,1165000.0,106.0,10990.57,4,75014
laforet,Appartement,327500.0,30.0,10916.67,1,75014
laforet,Appartement,750000.0,95.0,7894.74,5,75019
laforet,Appartement,420000.0,40.0,10500.0,2,75018
laforet,Appartement,369000.0,35.0,10542.86,2,75010
laforet,Appartement,320000.0,27.0,11851.85,2,75017
laforet,Appartement,141000.0,12.0,11750.0,1,75009
laforet,Appartement,129000.0,14.0,9214.29,1,75010
laforet,Appartement,100000.0,12.0,8333.33,1,75010
laforet,Appartement,620000.0,79.0,7848.1,4,75020
laforet,Appartement,599000.0,58.0,10327.59,3,75011
laforet,Appartement,189000.0,20.0,9450.0,1,75020
laforet,Appartement,533000.0,52.0,10250.0,2,75014
laforet,Appartement,160000.0,15.0,10666.67,1,75018
laforet,Appartement,310000.0,34.0,9117.65,2,75012
laforet,Appartement,1130000.0,90.0,12555.56,4,75016
laforet,Appartement,770000.0,73.0,10547.95,3,75017
laforet,Appartement,369000.0,36.0,10250.0,2,75011
laforet,Appartement,1478000.0,131.0,11282.44,5,75011
laforet,Appartement,599000.0,58.0,10327.59,3,75010
laforet,Appartement,610000.0,52.0,11730.77,3,75005
laforet,Appartement,552500.0,81.0,6820.99,4,75018
laforet,Appartement,471000.0,42.0,11214.29,2,75010
laforet,Appartement,468000.0,52.0,9000.0,2,75010
laforet,Appartement,399000.0,44.0,9068.18,3,75010
laforet,Appartement,336000.0,34.0,9882.35,2,75010
laforet,Appartement,193000.0,17.0,11352.94,1,75010
laforet,Appartement,1890000.0,148.0,12770.27,4,75011
laforet,Appartement,849000.0,72.0,11791.67,3,75016
laforet,Appartement,690000.0,75.0,9200.0,4,75010
laforet,Appartement,450000.0,49.0,9183.67,3,75010
laforet,Appartement,135000.0,14.0,9642.86,1,75015
laforet,Appartement,339000.0,36.0,9416.67,2,75015
laforet,Appartement,639000.0,54.0,11833.33,2,75015
laforet,Appartement,235000.0,21.0,11190.48,1,75020
laforet,Appartement,410000.0,56.0,7321.43,1,75010
laforet,Appartement,670000.0,73.0,9178.08,4,75010
laforet,Appartement,440000.0,50.0,8800.0,3,75010
laforet,Appartement,400000.0,39.0,10256.41,1,75010
laforet,Appartement,170000.0,24.0,7083.33,1,75018
laforet,Appartement,245000.0,24.0,10208.33,1,75012
laforet,Appartement,520000.0,55.0,9454.55,2,75012
laforet,Appartement,237000.0,23.0,10304.35,2,75015
laforet,Appartement,1470000.0,147.0,10000.0,5,75011
laforet,Appartement,899000.0,93.0,9666.67,4,75020
laforet,Appartement,751000.0,84.0,8940.48,4,75012
laforet,Appartement,649000.0,60.0,10816.67,2,75004
laforet,Appartement,519750.0,53.0,9806.6,2,75012
laforet,Appartement,375000.0,62.0,6048.39,2,75020
laforet,Appartement,999000.0,78.0,12807.69,3,75001
laforet,Appartement,570000.0,62.0,9193.55,3,75015
laforet,Appartement,355500.0,38.0,9355.26,3,75015
laforet,Appartement,410000.0,43.0,9534.88,2,75020
laforet,Appartement,1200000.0,134.0,8955.22,5,75015
laforet,Appartement,275000.0,47.0,5851.06,2,75018
laforet,Appartement,748800.0,76.0,9852.63,3,75014
laforet,Appartement,497000.0,50.0,9940.0,2,75016
laforet,Appartement,570000.0,46.0,12391.3,2,75017
laforet,Appartement,185000.0,21.0,8809.52,2,75020
laforet,Appartement,548000.0,73.0,7506.85,3,75020
laforet,Appartement,740000.0,66.0,11212.12,3,75017
laforet,Appartement,436900.0,35.0,12482.86,2,75018
laforet,Appartement,356000.0,34.0,10470.59,2,75017
laforet,Appartement,305000.0,36.0,8472.22,1,75015
laforet,Appartement,515000.0,50.0,10300.0,3,75014
laforet,Appartement,682000.0,62.0,11000.0,3,75015
laforet,Appartement,88000.0,9.0,9777.78,1,75010
laforet,Appartement,1195000.0,183.0,6530.05,8,75020
laforet,Appartement,498000.0,49.0,10163.27,3,75015
laforet,Appartement,99300.0,13.0,7638.46,1,75018
laforet,Appartement,440000.0,46.0,9565.22,3,75014
laforet,Appartement,790000.0,81.0,9753.09,4,75014
laforet,Maison,5400000.0,260.0,20769.23,10,75018
laforet,Appartement,1000000.0,92.0,10869.57,4,75018
laforet,Appartement,1242000.0,116.0,10706.9,4,75012
laforet,Appartement,1690000.0,200.0,8450.0,7,75017
laforet,Appartement,640000.0,50.0,12800.0,2,75003
laforet,Appartement,849000.0,124.0,6846.77,6,75010
laforet,Appartement,420000.0,32.0,13125.0,2,75003
laforet,Appartement,300000.0,22.0,13636.36,1,75015
laforet,Appartement,870000.0,69.0,12608.7,3,75015
laforet,Appartement,650000.0,56.0,11607.14,2,75002
laforet,Appartement,276000.0,27.0,10222.22,2,75011
laforet,Appartement,333000.0,42.0,7928.57,2,75020
laforet,Maison,1612000.0,93.0,17333.33,4,75016
laforet,Appartement,1050000.0,110.0,9545.45,5,75015
laforet,Appartement,345000.0,44.0,7840.91,2,75019
laforet,Appartement,600000.0,62.0,9677.42,3,75019
laforet,Appartement,219500.0,26.0,8442.31,1,75011
laforet,Appartement,1195000.0,101.0,11831.68,4,75002
laforet,Appartement,825000.0,92.0,8967.39,4,75017
laforet,Appartement,525000.0,60.0,8750.0,3,75015
laforet,Appartement,330000.0,47.0,7021.28,1,75010
laforet,Appartement,785000.0,97.0,8092.78,4,75020
laforet,Appartement,540000.0,50.0,10800.0,2,75016
laforet,Appartement,695000.0,50.0,13900.0,2,75001
laforet,Appartement,175000.0,24.0,7291.67,1,75018
laforet,Appartement,320000.0,43.0,7441.86,3,75018
laforet,Appartement,890000.0,95.0,9368.42,4,75019
laforet,Appartement,470000.0,54.0,8703.7,3,75014
laforet,Appartement,495000.0,47.0,10531.91,3,75017
laforet,Appartement,570000.0,91.0,6263.74,4,75019
laforet,Appartement,139000.0,15.0,9266.67,1,75018
laforet,Appartement,799000.0,88.0,9079.55,3,75015
laforet,Appartement,195000.0,18.0,10833.33,1,75020
laforet,Appartement,670000.0,65.0,10307.69,3,75009
laforet,Appartement,578000.0,56.0,10321.43,3,75015
laforet,Appartement,2695000.0,300.0,8983.33,5,75011
laforet,Appartement,635000.0,64.0,9921.88,3,75015
laforet,Appartement,505000.0,62.0,8145.16,3,75014
laforet,Appartement,530000.0,61.0,8688.52,3,75015
laforet,Appartement,468000.0,53.0,8830.19,4,75015
laforet,Appartement,330000.0,29.0,11379.31,1,75015
laforet,Appartement,300000.0,27.0,11111.11,1,75015
laforet,Appartement,285000.0,28.0,10178.57,2,75014
laforet,Appartement,265000.0,24.0,11041.67,1,75015
laforet,Appartement,249000.0,25.0,9960.0,1,75015
